Player
Israel Domínguez
Sergi Dominguez
Patrick Dorgu
Alfie Dorrington
Niklas Dorsch
Alberto Dossena
Abdoulaye Doucouré
Cheick Doucouré
Sékou Doucoure
Guela Doué
Douglas
Issa Doumbia
Amidou Doumbouya
Anastasios Douvikas
Artem Dovbyk
Flynn Downes
Tommy Doyle
Radu Drăgușin
Tim Drexler
Domingos Duarte
Marvin Ducksch
Ondrej Duda
Alfred Duncan
Lewis Dunk
Jáder Durán
Hugo Duro
Jean-Kevin Duverne
Enzo Ebosse
Claudio Echeverri
Éderson
George Edmundson
Ronnie Edwards
Johannes Eggestein
Maximilian Eggestein
Kingsley Ehizibue
Chidera Ejuke
Hugo Ekitike
Jurgen Ekkelenkamp
Caleb Ekuban
Pierre Ekwah Elimby
Meschak Elia
Harvey Elliott
Aritz Elustondo
Nico Elvedi
Emanuel Emegha
Emerson
Endrick
Christian Eriksen
Martin Erlic
Patrick Erras
Alfonso Espino
Romain Esse
Samuel Essende
Dario Essugo
Estanis
Nahuel Estévez
Pervis Estupiñán
Etienne Eto'o
Evanilson
Jake Evans
Jonny Evans
Edu Expósito
Giovanni Fabbian
Wout Faes
Nicolò Fagioli
Davide Faraoni
Abdul Fatawu Issahaku
Ansu Fati
Jacopo Fazzini
Nabil Fekir
Luiz Felipe
Kiko Femenía
Evan Ferguson
Lewis Ferguson
Bruno Fernandes
Mateus Fernandes
Enzo Fernández
Pelayo Fernandez
Roberto Férnandez
Jordan Ferri
Daniel Fila
Karol Fila
Kilian Fischer
Alessandro Florenzi
Mateo Flores
Malick Fofana
Seko Fofana
Wesley Fofana
Youssouf Fofana
Jonas Föhrenbach
Lamine Fomba
Héctor Fort
Dimitri Foulquier
Juan Foyth
Alejandro Francés
Przemysław Frankowski
Davide Frattesi
Tyler Fredricson
Morten Frendrup
Martin Frese
Remo Freuler
Marco Friedl
Marvin Friedrich
Darío Fuentes
Shiō Fukuda
Niclas Füllkrug
Kyogo Furuhashi
Matteo Gabbia
Tommaso Gabellini
Tiago Gabriel
Cody Gakpo
Javi Galán
Iñigo Ruiz de Galarreta
Conor Gallagher
Antonino Gallo
Cristian Gamboa
Idrissa Gana Gueye
Silvère Ganvoula M'Boussy
Facundo Garcés
Aleix García
Fran Garcia
Pablo Garcia
Ulisses Garcia
Unai García
Yarek Gasiorowski
Federico Gatti
Jean-Philippe Gbamin
Viggo Gebel
Lutsharel Geertruida
Valentin Gendrey
Denis Genreau
Tyrique George
Max Geschwill
Daniele Ghilardi
Lautaro Gianetti
Dimitris Giannoulis
Morgan Gibbs-White
Samuel Gigot
Armin Gigovic
Mario Gila
Billy Gilmour
Benedikt Gimber
Santiago Giménez
Gvidas Gineitis
Matthias Ginter
